Player,Team,Rec,Tgt,Yds,Y/R,Long,1stD,TD,Fumb,FumL,Date
Javonte Williams,DAL,3,3,15,5,9,1,0,0,0,9/28
Nick Chubb,HOU,2,2,15,7.5,8,0,0,0,0,9/28
Tay Martin,WAS,1,1,14,14,14,1,0,0,0,9/28
Ryan Flournoy,DAL,2,2,14,7,11,2,0,0,0,9/28
Tylan Wallace,BAL,1,2,14,14,14,1,0,0,0,9/28
TreVeyon Henderson,NE,2,2,14,7,9,0,0,0,0,9/28
Wan'Dale Robinson,NYG,3,5,14,4.7,8,0,0,0,0,9/28
Sterling Shepard,TB,2,4,14,7,8,0,0,0,0,9/28
Emari Demercado,ARI,2,2,13,6.5,7,1,1,0,0,9/28
Kalif Raymond,DET,2,3,13,6.5,7,1,0,0,0,9/28
Kareem Hunt,KC,1,1,13,13,13,1,0,0,0,9/28
Isiah Pacheco,KC,2,3,13,6.5,8,1,1,0,0,9/28
Tre Tucker,LV,2,2,13,6.5,9,0,0,0,0,9/28
Daniel Bellinger,NYG,1,1,13,13,13,1,0,0,0,9/28
Calvin Austin III,PIT,2,2,13,6.5,8,1,0,0,0,9/28
Malik Washington,MIA,2,3,13,6.5,9,0,0,0,0,9/28
Tony Pollard,TEN,3,3,12,4,8,0,0,0,0,9/28
Gunnar Helm,TEN,1,1,12,12,12,0,0,0,0,9/28
Ashton Dulin,IND,1,1,11,11,11,1,0,0,0,9/28
David Njoku,CLE,2,3,11,5.5,9,0,0,0,0,9/28
Tyquan Thornton,KC,1,2,11,11,11,1,1,0,0,9/28
Raheem Mostert,LV,1,1,11,11,11,1,0,0,0,9/28
Cam Skattebo,NYG,2,2,11,5.5,7,0,0,0,0,9/28
Ladd McConkey,LAC,1,6,11,11,11,1,0,0,0,9/28
Adam Thielen,MIN,2,2,11,5.5,6,2,0,0,0,9/28
Tyler Badie,DEN,1,2,11,11,11,1,0,0,0,9/28
Tory Horton,SEA,1,2,10,10,10,0,0,0,0,9/28
Jacory Croskey-Merritt,WAS,2,2,10,5,6,0,0,0,0,9/28
Hunter Renfrow,CAR,2,2,10,5,5,1,0,0,0,9/28
John Metchie III,PHI,2,2,10,5,7,1,0,0,0,9/28
Curtis Samuel,BUF,1,2,9,9,9,1,0,0,0,9/28
Malik Heath,GB,1,1,9,9,9,0,0,0,0,9/28
Cade Otton,TB,3,4,9,3,6,0,0,0,0,9/28
Mitch Tinsley,CIN,1,2,9,9,9,0,0,0,0,9/28
